TOTAL_TAGS,BINARY_LENGTH,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,identified_tags_count,success_slots,idle_slots,collision_slots,throughput_tags_per_sec,algorithm_name,run_id,total_energy_nj,total_slots,system_efficiency,avg_tag_bits,total_protocol_time_ms
100,96,226340.15625,5525.0,8778.0,189,100,100,0,89,441.8128963803788,LAPCT,1,38073.015625,189,0.5291005291005291,87.78,226.34015625
100,96,342766.40625,8733.0,8777.0,300,100,100,50,150,291.7438762276605,BasicTree,1,56131.140625,300,0.3333333333333333,87.77,342.76640625
200,96,471157.34375,11623.0,17415.0,389,200,200,0,189,424.4866447547545,LAPCT,1,79069.234375,389,0.5141388174807198,87.075,471.15734375
200,96,689642.96875,17822.0,17390.0,591,200,200,96,295,290.0051317314326,BasicTree,1,113303.296875,591,0.338409475465313,86.95,689.64296875
300,96,718294.84375,17831.0,25998.0,589,300,300,0,289,417.6557894162108,LAPCT,1,120490.484375,589,0.5093378607809848,86.66,718.29484375
300,96,1053451.25,27484.0,25881.0,893,300,300,147,446,284.77824673899244,BasicTree,1,173253.625,893,0.335946248600224,86.27,1053.45125
400,96,971887.03125,24345.0,34408.0,789,400,400,0,389,411.57046769678254,LAPCT,1,163082.703125,789,0.5069708491761724,86.02,971.88703125
400,96,1408616.25,36898.0,34375.0,1187,400,400,194,593,283.9666232730171,BasicTree,1,231845.125,1187,0.33698399326032014,85.9375,1408.61625
500,96,1223475.3125,30764.0,42881.0,989,500,500,0,489,408.67191588714627,LAPCT,1,205316.03125,989,0.5055611729019212,85.762,1223.4753125
500,96,1803142.5,47595.0,42796.0,1508,500,500,254,754,277.29366924688424,BasicTree,1,296902.25,1508,0.33156498673740054,85.592,1803.1425
