d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,0.5002,,,,,,,,,,,,,,,
2,,,,,,,,,0.8643,,,,,,,
3,,,,,,,,,,1.2024,,,,,,
4,,,,,,,,,,,1.4859,,,,,
5,,,,,,,,,,,,1.7673,,,,
6,,,,,,,,,,,,,1.7620,,,
7,,,,,,,,,,,,,,3.4449,,
8,,,,,,,,,,,,,,,5.1161,
9,,,,,,,,,,,,,,,,3.6936
10,,2.0163,,,,,,,,,,,,,,
11,,,1.3857,,,,,,,,,,,,,
12,,,,1.3771,,,,,,,,,,,,
13,,,,,1.8684,,,,,,,,,,,
14,,,,,,3.1246,,,,,,,,,,
15,,,,,,,5.6156,,,,,,,,,
16,,,,,,,,10.4711,,,,,,,,
