d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,85.6992,,,,,,,,,,,,,,,
2,,,,,,,,,55.7440,,,,,,,
3,,,,,,,,,,44.3464,,,,,,
4,,,,,,,,,,,39.2391,,,,,
5,,,,,,,,,,,,35.1512,,,,
6,,,,,,,,,,,,,37.9356,,,
7,,,,,,,,,,,,,,22.4665,,
8,,,,,,,,,,,,,,,16.7184,
9,,,,,,,,,,,,,,,,22.2457
10,,38.8846,,,,,,,,,,,,,,
11,,,55.8769,,,,,,,,,,,,,
12,,,,57.0461,,,,,,,,,,,,
13,,,,,44.2833,,,,,,,,,,,
14,,,,,,28.9024,,,,,,,,,,
15,,,,,,,18.4157,,,,,,,,,
16,,,,,,,,12.0156,,,,,,,,
