d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,1318.6101,,,,,,,,,,,,,,,
2,,,,,,,,,706.7543,,,,,,,
3,,,,,,,,,,497.5721,,,,,,
4,,,,,,,,,,,390.5604,,,,,
5,,,,,,,,,,,,330.2787,,,,
6,,,,,,,,,,,,,282.8940,,,
7,,,,,,,,,,,,,,241.0708,,
8,,,,,,,,,,,,,,,223.9811,
9,,,,,,,,,,,,,,,,218.1810
10,,215.0201,,,,,,,,,,,,,,
11,,,204.4956,,,,,,,,,,,,,
12,,,,182.3115,,,,,,,,,,,,
13,,,,,157.5777,,,,,,,,,,,
14,,,,,,137.6705,,,,,,,,,,
15,,,,,,,126.1663,,,,,,,,,
16,,,,,,,,119.8351,,,,,,,,
