d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,13.2995,,,,,,,,,,,,,,,
2,,,,,,,,,7.5909,,,,,,,
3,,,,,,,,,,5.6358,,,,,,
4,,,,,,,,,,,4.6352,,,,,
5,,,,,,,,,,,,4.0700,,,,
6,,,,,,,,,,,,,3.6462,,,
7,,,,,,,,,,,,,,3.2489,,
8,,,,,,,,,,,,,,,3.0763,
9,,,,,,,,,,,,,,,,3.0185
10,,3.0522,,,,,,,,,,,,,,
11,,,3.1307,,,,,,,,,,,,,
12,,,,3.0449,,,,,,,,,,,,
13,,,,,2.7525,,,,,,,,,,,
14,,,,,,2.4482,,,,,,,,,,
15,,,,,,,2.2510,,,,,,,,,
16,,,,,,,,2.1356,,,,,,,,
