d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,7997.0000,,,,,,,,,,,,,,,
2,,,,,,,,,4628.6000,,,,,,,
3,,,,,,,,,,3326.8000,,,,,,
4,,,,,,,,,,,2692.0000,,,,,
5,,,,,,,,,,,,2263.4000,,,,
6,,,,,,,,,,,,,2270.8000,,,
7,,,,,,,,,,,,,,1161.6000,,
8,,,,,,,,,,,,,,,782.8000,
9,,,,,,,,,,,,,,,,1083.2000
10,,1984.0000,,,,,,,,,,,,,,
11,,,2887.2000,,,,,,,,,,,,,
12,,,,2905.2000,,,,,,,,,,,,
13,,,,,2142.2000,,,,,,,,,,,
14,,,,,,1280.6000,,,,,,,,,,
15,,,,,,,715.0000,,,,,,,,,
16,,,,,,,,384.0000,,,,,,,,
