d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,0.0000,,,,,,,,,,,,,,,
2,,,,,,,,,0.0000,,,,,,,
3,,,,,,,,,,0.0000,,,,,,
4,,,,,,,,,,,0.0000,,,,,
5,,,,,,,,,,,,0.0000,,,,
6,,,,,,,,,,,,,0.0000,,,
7,,,,,,,,,,,,,,0.0000,,
8,,,,,,,,,,,,,,,0.0000,
9,,,,,,,,,,,,,,,,0.0000
10,,0.0000,,,,,,,,,,,,,,
11,,,0.0000,,,,,,,,,,,,,
12,,,,0.0000,,,,,,,,,,,,
13,,,,,0.0000,,,,,,,,,,,
14,,,,,,0.0000,,,,,,,,,,
15,,,,,,,0.0000,,,,,,,,,
16,,,,,,,,0.0000,,,,,,,,
