d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,11.4000,,,,,,,,,,,,,,,
2,,,,,,,,,16.2000,,,,,,,
3,,,,,,,,,,24.6000,,,,,,
4,,,,,,,,,,,34.2000,,,,,
5,,,,,,,,,,,,60.4000,,,,
6,,,,,,,,,,,,,83.4000,,,
7,,,,,,,,,,,,,,131.0000,,
8,,,,,,,,,,,,,,,256.2000,
9,,,,,,,,,,,,,,,,510.6000
10,,920.2000,,,,,,,,,,,,,,
11,,,1184.6000,,,,,,,,,,,,,
12,,,,1049.6000,,,,,,,,,,,,
13,,,,,721.8000,,,,,,,,,,,
14,,,,,,410.8000,,,,,,,,,,
15,,,,,,,221.2000,,,,,,,,,
16,,,,,,,,115.0000,,,,,,,,
