d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,0.3334,,,,,,,,,,,,,,,
2,,,,,,,,,0.4636,,,,,,,
3,,,,,,,,,,0.5459,,,,,,
4,,,,,,,,,,,0.5977,,,,,
5,,,,,,,,,,,,0.6386,,,,
6,,,,,,,,,,,,,0.6379,,,
7,,,,,,,,,,,,,,0.7750,,
8,,,,,,,,,,,,,,,0.8364,
9,,,,,,,,,,,,,,,,0.7869
10,,0.6685,,,,,,,,,,,,,,
11,,,0.5808,,,,,,,,,,,,,
12,,,,0.5793,,,,,,,,,,,,
13,,,,,0.6513,,,,,,,,,,,
14,,,,,,0.7575,,,,,,,,,,
15,,,,,,,0.8484,,,,,,,,,
16,,,,,,,,0.9124,,,,,,,,
