d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,387.9564,,,,,,,,,,,,,,,
2,,,,,,,,,544.5787,,,,,,,
3,,,,,,,,,,641.2045,,,,,,
4,,,,,,,,,,,693.7585,,,,,
5,,,,,,,,,,,,730.0727,,,,
6,,,,,,,,,,,,,684.9325,,,
7,,,,,,,,,,,,,,871.1595,,
8,,,,,,,,,,,,,,,928.7419,
9,,,,,,,,,,,,,,,,685.5742
10,,355.7549,,,,,,,,,,,,,,
11,,,184.5621,,,,,,,,,,,,,
12,,,,119.6743,,,,,,,,,,,,
13,,,,,93.8929,,,,,,,,,,,
14,,,,,,85.6104,,,,,,,,,,
15,,,,,,,81.2818,,,,,,,,,
16,,,,,,,,78.8511,,,,,,,,
