d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,2070823.4560,,,,,,,,,,,,,,,
2,,,,,,,,,1474834.1856,,,,,,,
3,,,,,,,,,,1253936.5502,,,,,,
4,,,,,,,,,,,1159077.6827,,,,,
5,,,,,,,,,,,,1105854.4561,,,,
6,,,,,,,,,,,,,1180819.4550,,,
7,,,,,,,,,,,,,,935925.9978,,
8,,,,,,,,,,,,,,,902683.4014,
9,,,,,,,,,,,,,,,,1245023.4723
10,,2353597.4045,,,,,,,,,,,,,,
11,,,3972852.9419,,,,,,,,,,,,,
12,,,,4558256.0025,,,,,,,,,,,,
13,,,,,3833553.7146,,,,,,,,,,,
14,,,,,,2561287.2382,,,,,,,,,,
15,,,,,,,1754569.8043,,,,,,,,,
16,,,,,,,,1330307.9402,,,,,,,,
