d_target,BGCT(d_target=1),BGCT(d_target=10),BGCT(d_target=11),BGCT(d_target=12),BGCT(d_target=13),BGCT(d_target=14),BGCT(d_target=15),BGCT(d_target=16),BGCT(d_target=2),BGCT(d_target=3),BGCT(d_target=4),BGCT(d_target=5),BGCT(d_target=6),BGCT(d_target=7),BGCT(d_target=8),BGCT(d_target=9)
1,10310.4375,,,,,,,,,,,,,,,
2,,,,,,,,,7345.4430,,,,,,,
3,,,,,,,,,,6238.3018,,,,,,
4,,,,,,,,,,,5765.7205,,,,,
5,,,,,,,,,,,,5478.9802,,,,
6,,,,,,,,,,,,,5840.4227,,,
7,,,,,,,,,,,,,,4591.8405,,
8,,,,,,,,,,,,,,,4307.6413,
9,,,,,,,,,,,,,,,,5834.7520
10,,11244.3625,,,,,,,,,,,,,,
11,,,21676.1452,,,,,,,,,,,,,
12,,,,33426.7225,,,,,,,,,,,,
13,,,,,42627.4287,,,,,,,,,,,
14,,,,,,46736.8542,,,,,,,,,,
15,,,,,,,49371.6378,,,,,,,,,
16,,,,,,,,50956.7887,,,,,,,,
