TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,2.0243,1.1074,1.1737,1.9084,1.5823,0.4100,0.9606,0.3571,0.5333
2000,3.5587,1.1117,1.2107,1.8762,1.5699,0.2113,0.9799,0.3477,0.5457
3000,4.6368,1.1308,1.2336,1.6575,1.6026,0.1579,0.9865,0.3499,0.5485
4000,4.9813,1.1264,1.2195,1.6307,1.5656,0.1261,0.9899,0.3461,0.5499
5000,5.6306,1.1284,1.1979,1.6841,1.5934,0.1031,0.9919,0.3497,0.5519
6000,5.5300,1.0931,1.2141,1.6662,1.5740,0.0808,0.9932,0.3472,0.5446
7000,5.5911,1.0912,1.1913,1.6627,1.5776,0.0800,0.9942,0.3454,0.5447
8000,5.0505,1.0883,1.2247,1.7414,1.5823,0.0803,0.9949,0.3445,0.5454
9000,5.0876,1.0937,1.1933,1.7324,1.5630,0.0696,0.9955,0.3423,0.5511
10000,4.7015,1.0824,1.2074,1.7349,1.5840,0.0704,0.9959,0.3480,0.5461
