TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,34.9270,30.0020,146.9280,27.4780,58.1540,101.0020,147.6820,79.2370,61.2980
2000,21.7335,30.5660,145.9920,29.0180,60.4560,148.4780,149.2950,83.3330,61.7330
3000,17.7823,30.7250,145.4920,28.6880,61.0793,180.8693,150.0677,84.3043,62.5927
4000,17.0320,31.2095,145.8010,27.5935,62.5690,214.9235,150.5565,85.9570,63.1490
5000,15.6134,31.4332,146.3760,25.8060,62.0148,250.7780,150.9610,86.1300,63.7168
6000,15.9520,32.7582,145.9677,24.9297,63.2897,309.1220,151.2435,87.2372,64.7347
7000,15.8889,32.9360,146.4986,24.0649,63.3917,311.4823,151.4790,88.0129,65.1106
8000,17.3235,33.1845,145.7070,23.4465,63.5075,309.1907,151.7219,88.6322,65.3625
9000,17.2096,33.1266,146.4736,23.9922,64.1409,351.3742,151.9099,89.4902,65.1491
10000,18.4056,33.5782,146.1084,24.4244,63.8878,347.6462,152.0560,88.8776,65.8266
