TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,217.3950,725.8010,142.5840,139.9520,101.8700,151.0240,658.3650,204.1670,205.9480
2000,220.0905,781.9690,140.0660,143.9920,100.8890,187.7040,746.5155,205.3130,206.7640
3000,221.8750,812.5010,139.3667,143.9947,100.2877,213.3387,796.0933,205.8497,207.3673
4000,224.3545,836.6448,140.1065,144.0520,99.8590,238.9080,831.1218,206.3123,207.7670
5000,224.7044,850.1222,141.0594,144.1248,99.5930,267.1744,858.0776,206.5896,208.1148
6000,226.4748,866.8110,139.9312,144.2507,99.2452,309.9813,879.5912,206.8862,208.4250
7000,227.5007,879.5747,141.0380,144.5074,99.0877,312.0274,897.1600,207.1043,208.6469
8000,230.0255,890.0425,139.9255,145.3400,98.8719,311.1940,915.0018,207.3124,208.8357
9000,230.3827,900.1320,141.8357,146.8658,98.7091,342.0267,929.1017,207.5228,208.9498
10000,232.4714,909.2246,140.1906,148.1632,98.5713,339.3632,941.2265,207.6159,209.1420
