TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,3.0260,4.0430,3.8280,4.4690,6.7030,83.9460,8.2780,13.1670,7.9740
2000,3.0295,4.3780,3.7730,4.8405,7.2090,108.6795,9.3080,14.3130,8.3820
3000,3.0527,4.5643,3.7593,5.1050,7.4823,132.3507,9.8917,14.8497,8.6837
4000,3.0827,4.7110,3.7765,5.1848,7.7252,143.6990,10.3063,15.3123,8.8835
5000,3.0868,4.7938,3.7968,5.1820,7.8508,154.0914,10.6278,15.5896,9.0574
6000,3.1093,4.8968,3.7717,5.2160,8.0098,221.1168,10.8842,15.8862,9.2125
7000,3.1220,4.9747,3.7960,5.2407,8.1103,212.8861,11.0941,16.1043,9.3234
8000,3.1521,5.0394,3.7710,5.2079,8.2034,215.2742,11.3091,16.3124,9.4179
9000,3.1627,5.1013,3.8120,5.2381,8.3016,252.7338,11.4789,16.5228,9.4749
10000,3.1861,5.1571,3.7772,5.2880,8.3584,235.5918,11.6246,16.6159,9.5710
