TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,494.0000,903.0000,852.0000,524.0000,632.0000,2439.0000,1041.0000,2800.0000,1875.0000
2000,562.0000,1799.0000,1652.0000,1066.0000,1274.0000,9463.0000,2041.0000,5752.0000,3665.0000
3000,647.0000,2653.0000,2432.0000,1810.0000,1872.0000,19001.0000,3041.0000,8574.0000,5469.0000
4000,803.0000,3551.0000,3280.0000,2453.0000,2555.0000,31727.0000,4041.0000,11556.0000,7274.0000
5000,888.0000,4431.0000,4174.0000,2969.0000,3138.0000,48492.0000,5041.0000,14296.0000,9059.0000
6000,1085.0000,5489.0000,4942.0000,3601.0000,3812.0000,74243.0000,6041.0000,17282.0000,11018.0000
7000,1252.0000,6415.0000,5876.0000,4210.0000,4437.0000,87512.0000,7041.0000,20266.0000,12850.0000
8000,1584.0000,7351.0000,6532.0000,4594.0000,5056.0000,99597.0000,8041.0000,23224.0000,14669.0000
9000,1769.0000,8229.0000,7542.0000,5195.0000,5758.0000,129390.0000,9041.0000,26296.0000,16332.0000
10000,2127.0000,9239.0000,8282.0000,5764.0000,6313.0000,142102.0000,10041.0000,28736.0000,18313.0000
