TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,0.0000,999.0000,0.0000,157.0000,163.0000,1152.0000,0.0000,0.0000,0.0000
2000,0.0000,2248.0000,0.0000,372.0000,347.0000,2035.0000,0.0000,0.0000,0.0000
3000,0.0000,3149.0000,0.0000,800.0000,517.0000,2663.0000,0.0000,0.0000,0.0000
4000,0.0000,4171.0000,0.0000,1240.0000,718.0000,3350.0000,0.0000,0.0000,0.0000
5000,0.0000,5007.0000,0.0000,1728.0000,803.0000,3503.0000,0.0000,0.0000,0.0000
6000,0.0000,6152.0000,0.0000,2414.0000,1029.0000,4063.0000,0.0000,0.0000,0.0000
7000,0.0000,7308.0000,0.0000,2988.0000,1172.0000,4596.0000,0.0000,0.0000,0.0000
8000,0.0000,8476.0000,0.0000,3531.0000,1293.0000,4836.0000,0.0000,0.0000,0.0000
9000,0.0000,9734.0000,0.0000,3719.0000,1469.0000,5354.0000,0.0000,0.0000,0.0000
10000,0.0000,10965.0000,0.0000,3745.0000,1578.0000,5919.0000,0.0000,0.0000,0.0000
