TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,234.0000,18.0000,247.0000,33.0000,17.0000,14.0000,11.0000,16.0000
2000,255.0000,22.0000,493.0000,38.0000,18.0000,14.0000,13.0000,17.0000
3000,256.0000,23.0000,736.0000,41.0000,20.0000,16.0000,12.0000,19.0000
4000,256.0000,23.0000,983.0000,41.0000,19.0000,17.0000,14.0000,20.0000
5000,257.0000,25.0000,1229.0000,42.0000,20.0000,16.0000,13.0000,19.0000
6000,256.0000,26.0000,1475.0000,43.0000,21.0000,18.0000,13.0000,20.0000
7000,259.0000,26.0000,1718.0000,45.0000,21.0000,17.0000,14.0000,20.0000
8000,256.0000,27.0000,1962.0000,47.0000,21.0000,17.0000,15.0000,20.0000
9000,257.0000,27.0000,2212.0000,47.0000,21.0000,17.0000,14.0000,22.0000
10000,258.0000,28.0000,2467.0000,48.0000,22.0000,18.0000,15.0000,21.0000
