TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,0.6693,0.3446,0.5400,0.5949,0.5571,0.2178,0.4900,0.2632,0.3478
2000,0.7806,0.3307,0.5476,0.5817,0.5523,0.1482,0.4949,0.2580,0.3530
3000,0.8226,0.3408,0.5523,0.5348,0.5567,0.1216,0.4966,0.2592,0.3542
4000,0.8328,0.3412,0.5495,0.5200,0.5500,0.1024,0.4975,0.2571,0.3548
5000,0.8492,0.3463,0.5450,0.5156,0.5592,0.0877,0.4980,0.2591,0.3556
6000,0.8469,0.3401,0.5483,0.4994,0.5535,0.0712,0.4983,0.2577,0.3526
7000,0.8483,0.3378,0.5436,0.4930,0.5552,0.0706,0.4985,0.2567,0.3526
8000,0.8347,0.3358,0.5505,0.4961,0.5575,0.0712,0.4987,0.2562,0.3529
9000,0.8357,0.3338,0.5441,0.5024,0.5546,0.0626,0.4989,0.2550,0.3553
10000,0.8246,0.3311,0.5470,0.5126,0.5589,0.0633,0.4990,0.2582,0.3532
