TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,595.5647,621.6910,443.5986,772.5483,662.9365,390.2984,395.6084,403.5146,541.2815
2000,796.3749,620.9616,447.8566,739.3046,652.6765,280.4603,391.3184,394.4422,548.3802
3000,894.0062,628.7178,450.3539,702.1445,651.4486,235.0320,389.6859,394.6546,547.8491
4000,921.3923,627.5493,448.8834,699.0749,644.0615,201.2505,388.7778,391.0836,547.8463
5000,963.8178,629.1573,446.3153,712.7363,648.5270,174.4905,388.1303,392.8087,546.9076
6000,959.9184,616.8672,448.1773,712.6921,642.2455,143.9455,387.6878,390.4086,541.7339
7000,964.8668,616.0199,445.6484,716.8275,642.2805,142.8852,387.3407,388.7442,541.1265
8000,931.0585,614.8017,449.3829,733.3231,642.4528,143.7355,387.0187,387.6716,541.2139
9000,937.9668,616.3083,445.8028,736.7900,639.3142,127.6226,386.7695,385.7098,544.3523
10000,910.0677,612.2188,447.4470,740.5738,641.3904,128.8920,386.5744,389.2731,540.8156
