TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,92142.0524,80460.3706,113264.1366,64535.0088,75959.6766,143961.7293,127269.1004,125296.2963,93610.6050
2000,270691.1341,326399.7070,447696.5291,268067.8237,307470.4072,833296.0752,513077.3530,511778.7126,367254.5642
3000,535288.8845,711366.0923,996985.9564,632749.1328,692117.2605,2241317.8132,1158114.1336,1134024.3584,822188.6265
4000,908625.5663,1279455.1365,1778220.0997,1137299.3560,1242232.9714,4830612.9460,2062000.6938,2037951.0114,1464803.7858
5000,1351600.1766,1987227.2580,2809213.6884,1754358.5350,1931116.9192,8866279.9883,3226027.1782,3185817.8561,2287992.8995
6000,1916217.5065,2932123.7484,4008043.1585,2507813.8183,2801447.4172,15871590.9205,4649854.3524,4614359.7059,3333132.6780
7000,2596272.7241,3986494.4545,5513528.8041,3406382.2900,3823957.2255,20770818.9398,6333642.2531,6314737.3756,4526411.8183
8000,3538147.8221,5224672.1686,7129400.4568,4357421.8830,4986096.5782,26334773.9030,8277577.2561,8274146.9538,5910008.4028
9000,4373248.2747,6597246.9732,9090158.2891,5509696.1098,6334630.6884,37438836.1630,10482217.8360,10502017.2981,7462192.0433
10000,5578322.6914,8190144.3241,11193276.2977,6795831.0200,7805148.0658,45878725.6948,12946090.1095,12852536.1841,9261736.6648
