TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,1679.0787,1608.5162,2254.2900,1294.4175,1508.4400,2562.1425,2527.7525,2478.2250,1847.4675
2000,2511.3800,3220.8113,4465.7150,2705.2450,3064.3050,7131.1350,5110.9275,5070.4513,3647.1050
3000,3355.6813,4771.6163,6661.4275,4272.6250,4605.1213,12764.2200,7698.5087,7601.5837,5475.9600
4000,4341.2563,6374.0013,8911.0000,5721.8475,6210.5875,19875.7275,10288.6525,10227.9912,7301.3175
5000,5187.7025,7947.1388,11202.8425,7015.2175,7709.7788,28654.8525,12882.2712,12728.8412,9142.3125
6000,6250.5312,9726.5675,13387.5588,8418.7825,9342.2213,41682.4350,15476.3713,15368.5138,11075.5475
7000,7254.8875,11363.2687,15707.4513,9765.2500,10898.6650,48990.3900,18071.9463,18006.6975,12935.9775
8000,8592.3713,13012.3263,17802.1900,10909.2425,12452.2763,55657.7775,20670.8338,20636.0213,14781.5875
9000,9595.2225,14603.0800,20188.2962,12215.1500,14077.5850,70520.4000,23269.6712,23333.6037,16533.4100
10000,10988.1938,16334.0300,22349.0150,13503.0425,15591.1287,77584.3275,25868.2400,25688.9038,18490.5925
