TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,1.9881,1.0582,1.1962,1.8657,0.9606,0.3519,0.5543
2000,3.5651,1.1422,1.2270,1.9841,0.9799,0.3458,0.5594
3000,4.6584,1.1190,1.2245,1.7104,0.9865,0.3484,0.5385
4000,5.0314,1.1406,1.1976,1.6090,0.9899,0.3478,0.5440
5000,5.3248,1.1069,1.2136,1.7476,0.9919,0.3480,0.5502
6000,5.3286,1.1080,1.1862,1.6755,0.9932,0.3439,0.5475
7000,5.3722,1.0932,1.2015,1.7094,0.9942,0.3476,0.5514
8000,5.2117,1.0845,1.2099,1.7350,0.9949,0.3489,0.5424
9000,4.9315,1.0798,1.2006,1.7321,0.9955,0.3486,0.5461
10000,4.7081,1.0740,1.2069,1.7170,0.9959,0.3453,0.5507
