TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,35.3450,31.2490,146.3940,28.9080,147.7590,80.0640,59.4680
2000,21.7230,29.7380,145.5940,28.6770,149.2585,83.4880,60.9030
3000,17.7020,31.0690,145.7260,28.5853,150.0867,84.5003,63.5293
4000,16.9028,30.8240,146.3250,27.7035,150.5685,85.6235,63.7330
5000,16.3386,32.0722,145.9156,25.4804,150.9568,86.4164,63.8004
6000,16.4342,32.2387,146.6443,24.7720,151.2475,87.7208,64.6193
7000,16.4307,32.8614,146.2946,23.9014,151.5069,87.7373,64.5991
8000,16.9200,33.2989,146.0705,23.6528,151.7295,87.9107,65.6372
9000,17.6566,33.5453,146.2782,23.7258,151.9059,88.3970,65.5140
10000,18.3731,33.9072,146.1448,24.4112,152.0555,89.2896,65.5294
