TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,2.0460,4.0740,3.7960,4.5150,8.3160,13.2380,7.8780
2000,2.0290,4.3630,3.7580,4.7750,9.2950,14.3105,8.3740
3000,2.0520,4.5853,3.7700,5.0597,9.8880,14.8510,8.7450
4000,2.0805,4.6908,3.7965,5.2025,10.2888,15.2840,8.9205
5000,2.0968,4.8124,3.7712,5.1232,10.6224,15.6132,9.0548
6000,2.1158,4.8937,3.8150,5.1973,10.8835,15.9062,9.2117
7000,2.1287,4.9761,3.8017,5.2019,11.1034,16.1223,9.3013
8000,2.1444,5.0492,3.7742,5.2047,11.3055,16.2876,9.4251
9000,2.1680,5.1094,3.7829,5.2423,11.4686,16.4567,9.4927
10000,2.1865,5.1718,3.7844,5.2866,11.6170,16.6311,9.5552
