TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,0.0000,1003.0000,0.0000,184.0000,0.0000,0.0000,0.0000
2000,0.0000,2221.0000,0.0000,348.0000,0.0000,0.0000,0.0000
3000,0.0000,3167.0000,0.0000,773.0000,0.0000,0.0000,0.0000
4000,0.0000,4080.0000,0.0000,1303.0000,0.0000,0.0000,0.0000
5000,0.0000,4998.0000,0.0000,1719.0000,0.0000,0.0000,0.0000
6000,0.0000,6179.0000,0.0000,2487.0000,0.0000,0.0000,0.0000
7000,0.0000,7145.0000,0.0000,2861.0000,0.0000,0.0000,0.0000
8000,0.0000,8457.0000,0.0000,3391.0000,0.0000,0.0000,0.0000
9000,0.0000,9423.0000,0.0000,3690.0000,0.0000,0.0000,0.0000
10000,0.0000,11058.0000,0.0000,3879.0000,0.0000,0.0000,0.0000
