TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,0.6653,0.3392,0.5447,0.5814,0.4900,0.2603,0.3566
2000,0.7809,0.3349,0.5510,0.5959,0.4949,0.2569,0.3587
3000,0.8233,0.3391,0.5505,0.5428,0.4966,0.2584,0.3500
4000,0.8342,0.3452,0.5450,0.5135,0.4975,0.2580,0.3523
5000,0.8419,0.3445,0.5482,0.5219,0.4980,0.2582,0.3549
6000,0.8420,0.3410,0.5426,0.4972,0.4983,0.2559,0.3538
7000,0.8431,0.3407,0.5458,0.5016,0.4985,0.2579,0.3554
8000,0.8390,0.3357,0.5475,0.4999,0.4987,0.2587,0.3517
9000,0.8314,0.3363,0.5456,0.5032,0.4989,0.2585,0.3532
10000,0.8248,0.3293,0.5469,0.5075,0.4990,0.2567,0.3551
