TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,593.1651,605.3887,446.1968,760.9366,395.5330,567.8124,687.5262
2000,796.5854,631.0850,449.6706,752.8321,391.3533,555.7645,682.5065
3000,896.5749,624.7729,449.3015,709.4937,389.6678,553.2637,667.8543
4000,924.4029,632.6102,446.3906,694.8296,388.7665,549.7520,668.2783
5000,944.6465,622.0968,448.2016,722.0118,388.1343,547.4245,669.1747
6000,946.8218,621.9433,445.0030,713.8294,387.6840,542.6498,665.1203
7000,950.8995,617.2562,446.6814,725.3116,387.3146,543.4232,666.1791
8000,939.7795,613.5703,447.6485,733.6946,387.0116,543.2470,660.3698
9000,926.0224,612.3483,446.6946,736.7661,386.7733,541.7339,661.8626
10000,911.4528,609.1404,447.3691,737.2610,386.5749,538.4204,662.3740
