TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,377.8206,593.3961,587.3454,259.7370,879.0589,429.0435,357.9290
2000,591.5081,1215.2590,1166.6165,524.3475,1853.5826,878.3971,722.7195
3000,809.9138,1890.5715,1751.9411,810.3487,2864.0145,1325.2664,1108.5947
4000,1060.7517,2545.3744,2348.8828,1085.3087,3892.6382,1779.7707,1478.5810
5000,1308.4105,3257.3814,2924.8534,1307.4735,4941.8615,2235.6820,1847.1210
6000,1573.3680,3950.8216,3533.8819,1570.2890,6001.2226,2707.3389,2230.9925
7000,1834.4001,4673.6425,4110.0571,1806.1945,7070.9300,3156.0925,2600.1115
8000,2123.4415,5403.4055,4684.5900,2051.1840,8153.4825,3609.5101,2998.0055
9000,2425.2847,6130.5129,5279.6685,2308.2265,9238.3881,4073.3302,3366.6847
10000,2737.5785,6877.2026,5860.7553,2584.8117,10330.9584,4554.3994,3739.1710
