TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,1685.8712,1651.8312,2241.1638,1314.1700,2528.2337,1761.1450,1454.4900
2000,2510.7162,3169.1450,4447.7000,2656.6350,5110.4712,3598.6462,2930.3750
3000,3346.0675,4801.7450,6677.0312,4228.3675,7698.8650,5422.3687,4491.9975
4000,4327.1175,6323.0087,8960.7625,5756.8075,10288.9525,7276.0075,5985.5300
5000,5292.9850,8037.3337,11155.6938,6925.0950,12882.1400,9133.6800,7471.8900
6000,6336.9900,9647.1812,13483.0537,8405.3700,15476.5212,11056.8538,9020.9250
7000,7361.4513,11340.5100,15671.1262,9651.0250,18073.1650,12881.3050,10507.6850
8000,8512.6350,13038.4400,17871.1650,10903.7200,20671.2150,14726.2663,12114.4250
9000,9718.9875,14697.5187,20147.9950,12215.5450,23269.4463,16613.3225,13597.9875
10000,10971.4950,16416.5762,22352.9075,13563.7175,25868.2088,18572.8488,15097.2100
