TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,0.5900,0.9107,1.6863,0.9606,0.4143,0.6219,2.1097
1444,0.6827,0.9601,2.1879,0.9724,0.4011,0.6757,1.9357
1888,0.7111,0.7141,1.7828,0.9787,0.4226,0.7141,3.6732
2333,0.6263,0.6613,1.9249,0.9827,0.4000,0.6083,3.0338
2777,0.8233,0.6631,1.7598,0.9855,0.4042,0.6087,3.6112
3222,0.6582,0.6657,1.6677,0.9874,0.4099,0.6187,6.2685
3666,0.6093,0.9577,1.6236,0.9889,0.4143,0.6233,4.7610
4111,0.7654,0.6661,1.6745,0.9901,0.3927,0.6424,5.3390
4555,0.9068,0.6619,1.6734,0.9911,0.3964,0.6527,4.4439
5000,0.7565,0.8515,1.6869,0.9919,0.4026,0.6623,6.4935
