TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,180.1740,216.3440,28.1160,222.2960,71.8440,54.4870,62.8160
1444,156.0457,210.4875,28.7645,222.7458,74.4958,50.0672,64.7632
1888,150.1419,235.4047,28.8983,222.2034,73.0673,47.6488,37.9428
2333,171.2829,257.9803,28.4029,219.2636,76.2773,57.5967,40.3965
2777,134.6305,249.5232,28.5834,223.3331,76.3255,58.0216,37.5996
3222,165.5816,248.2905,28.3774,221.7688,76.1167,57.5220,24.9944
3666,179.7040,205.1555,27.9411,222.9029,76.0093,57.4375,28.8672
4111,140.6626,247.6410,27.1214,218.1160,79.0411,54.9428,27.3595
4555,123.7805,245.8415,26.3179,222.9526,78.8307,54.2678,28.8858
5000,146.9666,223.4272,25.7576,221.1882,78.4210,53.6234,21.9780
