TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,424.8940,74.3160,138.5920,165.6660,47.7460,54.2300,104.5100
1444,404.6530,75.0575,143.9668,172.4363,52.1807,53.5741,123.2770
1888,386.7871,106.1695,143.0254,206.1923,53.7797,52.9804,109.0964
2333,565.4539,93.3592,144.0000,229.4295,52.4531,54.9563,128.9421
2777,362.2661,104.1239,144.0000,216.8052,49.2128,55.7134,123.8949
3222,442.6415,104.0826,144.0000,214.1769,54.0071,55.4960,97.1546
3666,510.3235,82.6757,144.0000,245.3153,45.8374,55.3339,127.5303
4111,440.5510,105.4702,144.0545,264.0109,49.6144,53.2491,124.0331
4555,363.6683,109.1941,144.0000,224.7453,51.5041,53.0714,138.2501
5000,409.0624,83.1572,144.0000,253.3846,53.3570,53.8556,137.6048
