TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,1695.0000,1098.0000,593.0000,1041.0000,2414.0000,1608.0000,474.0000
1444,2115.0000,1504.0000,660.0000,1485.0000,3600.0000,2137.0000,746.0000
1888,2655.0000,2644.0000,1059.0000,1929.0000,4468.0000,2644.0000,514.0000
2333,3725.0000,3528.0000,1212.0000,2374.0000,5832.0000,3835.0000,769.0000
2777,3373.0000,4188.0000,1578.0000,2818.0000,6870.0000,4562.0000,769.0000
3222,4895.0000,4840.0000,1932.0000,3263.0000,7860.0000,5208.0000,514.0000
3666,6017.0000,3828.0000,2258.0000,3707.0000,8848.0000,5882.0000,770.0000
4111,5371.0000,6172.0000,2455.0000,4152.0000,10468.0000,6399.0000,770.0000
4555,5023.0000,6882.0000,2722.0000,4596.0000,11492.0000,6979.0000,1025.0000
5000,6609.0000,5872.0000,2964.0000,5041.0000,12418.0000,7550.0000,770.0000
