TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,215.0000,0.0000,231.0000,0.0000,0.0000,0.0000,0.0000
1444,295.0000,0.0000,175.0000,0.0000,0.0000,0.0000,0.0000
1888,325.0000,0.0000,375.0000,0.0000,0.0000,0.0000,0.0000
2333,279.0000,0.0000,438.0000,0.0000,0.0000,0.0000,0.0000
2777,809.0000,0.0000,655.0000,0.0000,0.0000,0.0000,0.0000
3222,227.0000,0.0000,870.0000,0.0000,0.0000,0.0000,0.0000
3666,660.0000,0.0000,1050.0000,0.0000,0.0000,0.0000,0.0000
4111,688.0000,0.0000,1277.0000,0.0000,0.0000,0.0000,0.0000
4555,3250.0000,0.0000,1507.0000,0.0000,0.0000,0.0000,0.0000
5000,798.0000,0.0000,1832.0000,0.0000,0.0000,0.0000,0.0000
