TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,0.3436,0.4766,0.5482,0.4900,0.2370,0.2079,0.6784
1444,0.3747,0.4898,0.6336,0.4930,0.2519,0.1472,0.6594
1888,0.3878,0.4166,0.5683,0.4946,0.2491,0.1046,0.7860
2333,0.3682,0.3981,0.5857,0.4956,0.2564,0.2806,0.7521
2777,0.3991,0.3987,0.5543,0.4963,0.2488,0.2532,0.7831
3222,0.3861,0.3997,0.5349,0.4968,0.2486,0.2392,0.8624
3666,0.3544,0.4892,0.5257,0.4972,0.2427,0.2221,0.8264
4111,0.4042,0.3998,0.5242,0.4975,0.2550,0.1965,0.8422
4555,0.3551,0.3983,0.5186,0.4978,0.2569,0.1882,0.8163
5000,0.4030,0.4599,0.5104,0.4980,0.2550,0.1720,0.8666
