TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,345.7486,316.1021,672.1689,319.6283,591.4669,436.1030,818.8407
1444,393.3086,324.7619,726.5116,318.1475,640.8041,288.2008,773.3008
1888,407.3055,284.7516,670.4108,317.8610,613.3243,194.6561,1168.0196
2333,365.0525,264.4358,683.7790,319.3341,646.0567,631.7981,994.1096
2777,461.2879,270.2461,659.2216,316.4988,615.3447,546.7436,1147.5515
3222,382.0636,271.3265,645.5048,317.2897,609.0978,503.9873,1584.8178
3666,354.2888,329.8752,639.7007,316.4338,585.8611,455.8276,1332.5440
4111,435.2222,271.7846,647.1043,319.3430,634.6788,395.7390,1389.9090
4555,490.4347,272.6936,648.4234,316.1992,637.5268,374.2771,1188.8073
5000,428.9610,305.3239,649.8178,317.2304,625.4025,334.9056,1461.5145
