TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,862.0225,786.1995,274.3001,840.2884,294.3644,232.8551,300.0109
1444,1109.9613,1106.7130,385.7740,1221.6665,441.9559,311.3102,462.7740
1888,1395.5971,1652.1460,525.7544,1627.6559,568.3040,388.6770,407.9001
2333,2097.8941,2194.8953,641.6961,2021.2964,728.3695,569.6370,573.5834
2777,1852.7546,2558.0099,779.9504,2418.8386,861.9555,682.5580,622.8495
3222,2623.4185,2955.1600,913.9923,2789.5927,1004.3624,784.8858,520.8841
3666,3287.7621,2767.0738,1041.8965,3242.5231,1125.3937,890.9000,720.5299
4111,3006.6554,3765.4927,1154.3878,3623.3550,1316.3960,956.6561,775.6748
4555,2884.6624,4158.6782,1270.1891,3983.5033,1458.6380,1047.5500,961.1716
5000,3657.9290,4079.7703,1387.0225,4421.4850,1597.1649,1139.0646,905.9029
