TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,2892.2750,3163.5350,1487.7213,3128.6337,1268.0338,967.6612,1221.2387
1444,3671.4175,4446.3350,1987.5800,4538.7750,1891.3737,1280.3575,1867.3200
1888,4635.3413,6630.3400,2816.1838,5939.7037,2416.3400,1587.4150,1616.4113
2333,6390.8612,8822.5575,3411.9212,7305.8287,3112.7300,2367.8450,2346.8238
2777,6020.1012,10275.8188,4212.5437,8774.1262,3697.1150,2829.4800,2419.9350
3222,8433.1500,11874.9900,4991.4425,10154.7575,4268.6088,3248.0975,2033.0412
3666,10347.4912,11113.2925,5730.8050,11585.3612,4840.7375,3683.4100,2751.1287
4111,9445.7488,15125.9475,6352.9175,12873.3050,5645.3750,3954.6262,2957.7475
4555,9287.6787,16703.7275,7024.7312,14405.4775,6231.8950,4323.0000,3831.5712
5000,11656.0700,16376.0525,7694.4650,15761.4150,6795.6237,4681.9163,3421.1087
