TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,1.9631,0.6983,0.7400,1.7797,1.0010,0.4092,0.9610,0.4183,0.6293
1444,2.4755,0.5784,0.6940,1.8142,1.0007,0.2472,0.9724,0.4060,0.6756
1888,2.9586,0.8283,0.8182,1.8772,1.0005,0.2162,0.9787,0.4168,0.7085
2333,3.0370,0.5995,0.8228,1.8009,1.0004,0.1952,0.9827,0.3980,0.6073
2777,3.6121,0.7770,0.7777,1.6758,1.0004,0.1714,0.9855,0.4024,0.6103
3222,4.6023,0.7371,0.7656,1.6970,1.0003,0.1556,0.9874,0.4122,0.6197
3666,5.2365,0.6809,0.7392,1.6543,1.0003,0.1353,0.9889,0.4158,0.6258
4111,6.4026,0.6412,0.7355,1.7026,1.0002,0.1224,0.9901,0.3909,0.6433
4555,5.9171,0.7882,0.8453,1.6814,1.0002,0.1102,0.9911,0.3973,0.6503
5000,7.1420,0.6476,0.7400,1.7118,1.0002,0.0992,0.9919,0.4009,0.6623
