TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,67.1922,159.3380,242.0932,28.2172,206.6792,101.2088,216.4422,71.4790,54.0436
1444,55.1004,182.9050,246.6939,29.2003,207.1867,134.0202,218.8040,74.0292,49.9307
1888,46.8023,135.2237,232.6299,29.0801,215.7640,146.3886,222.6668,73.6503,48.0153
2333,43.1977,181.7581,226.9471,29.0366,212.1605,155.2014,219.2679,76.5388,57.5727
2777,36.9435,147.6439,233.9278,28.9525,213.8550,170.2073,220.5293,76.5368,57.7893
3222,31.2517,147.9291,237.9659,28.2436,210.9585,181.9090,222.9086,75.8631,57.4194
3666,27.1310,161.6626,236.7285,27.7706,213.6609,202.7337,223.2194,75.8449,57.2314
4111,24.0707,171.9634,237.6790,26.8881,213.1740,218.6793,220.0665,79.2400,54.7828
4555,24.4051,142.1598,223.3992,26.4319,212.6511,238.2279,220.8507,78.7845,54.4296
5000,21.1761,173.3986,240.2782,25.5235,211.1820,259.6519,223.8206,78.6288,53.5803
