TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,115.6840,426.0464,90.8138,139.5680,30.6494,151.1904,191.9462,69.9152,72.6436
1444,107.6734,468.9842,97.7060,142.3158,30.3990,176.7756,203.4504,70.2871,73.6298
1888,114.7224,417.1449,89.2556,143.7966,26.1122,186.1220,190.8581,71.8438,72.7153
2333,121.5342,491.8644,88.0240,143.9986,27.9150,193.9930,226.5975,72.2144,74.2562
2777,111.9751,426.2713,91.3100,144.0000,27.0686,205.4084,226.2276,73.6500,76.4121
3222,115.7970,482.2561,87.2908,144.0000,28.5173,214.8976,219.2580,74.0096,75.4413
3666,122.7905,489.6224,96.5761,144.0000,27.1666,230.2918,216.8051,72.5919,73.4516
4111,120.0000,493.5954,97.5155,144.0187,27.4103,242.7501,243.6451,75.8644,76.9964
4555,120.6000,464.0677,86.3600,144.0639,27.6721,257.2252,260.0844,76.1801,77.3327
5000,123.6000,525.6816,91.8974,144.0326,28.4068,273.3894,222.3070,74.2887,76.6510
