TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT
1000,4.7814,7.6462,5.3620,4.5566,11.2316,79.1064,8.2326
1444,4.3949,8.4609,5.5562,4.7349,11.7787,94.6551,8.7830
1888,4.7930,8.7033,5.1072,4.8119,12.1589,104.4202,9.1457
2333,4.9965,9.3697,4.9124,4.9292,12.4826,118.6355,9.4848
2777,4.5983,8.4167,5.1661,5.0725,12.7260,129.2377,9.7309
3222,4.7994,8.7343,5.1501,5.0921,12.9287,130.0968,9.9300
3666,4.6000,8.8933,5.3046,5.1543,13.1107,132.7834,10.1107
4111,4.6000,9.5601,5.3341,5.1390,13.3066,143.5011,10.2965
4555,4.8000,8.6893,4.8231,5.1701,13.4483,153.2690,10.4470
5000,4.6000,9.7604,5.3259,5.1580,13.5748,170.9568,10.5862
