TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,524.2000,1527.0000,1374.4000,565.2000,999.0000,2449.4000,1040.6000,2390.8000,1589.2000
1444,605.8000,2505.4000,2087.2000,802.6000,1443.0000,5846.0000,1485.0000,3556.8000,2137.4000
1888,662.2000,2302.2000,2421.6000,1006.0000,1887.0000,8746.4000,1929.0000,4530.0000,2665.0000
2333,768.2000,3911.8000,2907.2000,1296.4000,2332.0000,11955.6000,2374.0000,5862.8000,3841.8000
2777,768.8000,3795.8000,3644.0000,1657.8000,2776.0000,16212.2000,2818.0000,6902.0000,4550.4000
3222,718.6000,4436.2000,4290.8000,1899.0000,3221.0000,20721.0000,3263.0000,7816.0000,5199.4000
3666,718.6000,5496.2000,5007.2000,2217.6000,3665.0000,27103.6000,3707.0000,8816.8000,5857.8000
4111,667.6000,6547.4000,5657.6000,2417.4000,4110.0000,33594.6000,4152.0000,10516.0000,6390.2000
4555,769.8000,5942.2000,5494.0000,2710.8000,4554.0000,41343.8000,4596.0000,11465.2000,7004.4000
5000,718.6000,7963.8000,6809.6000,2921.2000,4999.0000,50434.2000,5041.0000,12473.2000,7549.8000
