TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,0.0000,218.4000,0.0000,208.0000,0.0000,1151.0000,0.0000,0.0000,0.0000
1444,0.0000,408.0000,0.0000,276.4000,0.0000,1506.6000,0.0000,0.0000,0.0000
1888,0.0000,520.2000,0.0000,354.2000,0.0000,1928.4000,0.0000,0.0000,0.0000
2333,0.0000,332.4000,0.0000,501.0000,0.0000,2169.8000,0.0000,0.0000,0.0000
2777,0.0000,920.0000,0.0000,675.0000,0.0000,2495.6000,0.0000,0.0000,0.0000
3222,0.0000,890.6000,0.0000,824.6000,0.0000,2698.4000,0.0000,0.0000,0.0000
3666,0.0000,484.0000,0.0000,1056.2000,0.0000,3013.2000,0.0000,0.0000,0.0000
4111,0.0000,1708.4000,0.0000,1250.0000,0.0000,3157.6000,0.0000,0.0000,0.0000
4555,0.0000,1778.4000,0.0000,1492.4000,0.0000,3425.2000,0.0000,0.0000,0.0000
5000,0.0000,706.6000,0.0000,1728.2000,0.0000,3577.6000,0.0000,0.0000,0.0000
