TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,236.8000,13.4000,247.4000,34.4000,11.6000,14.4000,11.4000,15.8000
1444,252.0000,13.2000,357.0000,36.2000,11.4000,14.6000,12.4000,16.2000
1888,255.0000,12.4000,466.2000,38.2000,12.2000,15.0000,12.0000,16.8000
2333,256.0000,13.4000,576.4000,37.8000,12.8000,15.8000,12.4000,18.2000
2777,256.0000,15.8000,683.4000,39.0000,12.6000,15.2000,12.6000,17.6000
3222,256.0000,14.8000,797.6000,41.0000,13.2000,15.8000,13.4000,18.0000
3666,256.0000,15.2000,900.4000,40.6000,13.0000,16.0000,13.4000,18.8000
4111,256.0000,14.4000,1011.6000,42.4000,13.2000,16.8000,13.8000,19.0000
4555,256.0000,15.2000,1123.0000,41.2000,14.0000,16.2000,14.0000,19.2000
5000,256.0000,15.8000,1230.2000,43.4000,13.4000,16.2000,14.2000,19.4000
