TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,859.6054,431.6875,295.8787,746.6410,340.7471,389.9192,338.1160,675.8118,509.5497
1444,1006.5112,363.3589,288.5593,738.8298,339.6833,306.6617,335.2365,711.5031,325.6021
1888,1148.5354,504.5403,310.2915,740.5670,330.5828,284.1222,331.9034,665.2949,214.7544
2333,1137.3684,374.7566,315.6284,724.8839,334.3360,269.1989,333.8643,720.4999,706.6325
2777,1279.5210,472.9432,305.8878,705.3233,333.0008,248.0909,332.7268,694.8351,632.1968
3222,1489.4496,453.0554,301.7608,708.5202,335.5933,233.6086,330.8894,686.2274,583.5474
3666,1571.4379,422.0689,300.1806,702.6986,332.7676,212.0591,330.5275,659.8078,535.3674
4111,1681.6023,397.2205,299.2212,711.6197,333.2993,197.8582,332.6102,708.6522,459.1411
4555,1632.7612,479.8551,320.1130,709.9406,333.9907,183.0370,331.9547,704.8213,413.5004
5000,1767.3623,401.1716,297.6639,717.2911,335.4716,169.1273,329.8535,699.2057,376.2762
