TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,64342.9544,123913.0738,170316.2917,67447.9044,147966.7387,146484.2794,148806.4313,69724.2250,66452.9889
1444,113251.9587,290704.6838,362173.1226,140531.1148,308386.8860,408833.2492,312536.4430,141899.9627,142423.9843
1888,168635.9089,357708.4152,583711.0353,239870.0589,541054.7735,733215.5411,539066.5702,252831.0236,246398.4389
2333,252572.6289,734252.0761,867907.4900,373223.0689,816580.1461,1171385.0729,817596.5014,371758.5873,333302.5984
2777,318457.0145,863428.8089,1270986.9930,545599.0057,1162552.0510,1819763.3286,1162022.4501,536495.1410,496404.7082
3222,369949.2803,1164671.0317,1735898.0698,734570.2162,1550368.7537,2622168.6641,1572260.5792,727361.0410,685531.9785
3666,453910.5632,1628954.6356,2246080.0751,954668.0418,2023195.8447,3814501.6219,2037112.2602,968945.6807,910861.1834
4111,533778.4786,2175090.7009,2840071.4061,1188206.9057,2540086.3158,5214173.6457,2545439.7286,1175707.4321,1155898.7333
4555,662852.7864,2213138.4247,3253129.0551,1460738.5796,3113072.7934,6984984.5195,3130385.0765,1445201.8479,1448391.7913
5000,746432.7145,3208643.1733,4218136.9538,1750166.3955,3732979.4436,9224486.0855,3795316.3460,1747699.7495,1754563.1143
