TOTAL_TAGS,BGCT,DQTA(k_max=3),EAQ_CBB,EMDT,FHS_RAC,HT_EEAC,LAPCT,NLHQT(n=1),NLHQT(n=2)
1000,1180.6738,2440.3063,3394.4168,1340.2640,2939.9662,2566.5630,2957.8317,1114.5642,847.2105
1444,1461.4048,3985.0442,5012.9203,1956.3445,4252.2488,4710.0525,4307.6062,1665.9092,1129.7365
1888,1671.0890,3772.9028,6158.8133,2549.4825,5711.5912,6648.8730,5688.5287,2157.3362,1417.6958
2333,2051.4815,6249.9597,7443.7640,3218.7580,6979.0288,8669.1420,6988.0600,2776.7855,2091.1238
2777,2171.0222,6166.5522,9133.3563,3937.4535,8351.3713,11196.0240,8346.5812,3295.0025,2494.4000
3222,2180.5008,7196.1102,10744.4548,4547.6300,9602.1700,13797.8325,9737.6425,3780.7875,2872.2845
3666,2354.5070,8830.1415,12244.1953,5217.6595,11018.2712,17293.6470,11091.4937,4291.6180,3254.2292
4111,2473.1458,10523.3705,13785.8808,5777.9680,12336.9862,20782.6020,12361.1125,5048.2150,3499.2628
4555,2791.2760,9712.6365,14294.1812,6416.7485,13647.1013,24887.7060,13722.2837,5551.7783,3848.6672
5000,2859.4345,12783.7285,16857.8107,6970.8515,14911.5050,29568.5865,15159.1337,6072.6507,4155.7433
