TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,1.1074,1.1468,1.8248,0.9606,0.3470,0.5482,2.0408
2000,1.0689,1.1947,1.8727,0.9799,0.3384,0.5484,3.4783
3000,1.1351,1.1737,1.6676,0.9865,0.3454,0.5497,4.6083
4000,1.1226,1.1862,1.6570,0.9899,0.3521,0.5464,5.2219
5000,1.1119,1.2136,1.7403,0.9919,0.3428,0.5478,5.5127
6000,1.0979,1.2320,1.7746,0.9932,0.3472,0.5464,5.3286
7000,1.0821,1.2128,1.7875,0.9942,0.3500,0.5488,5.0946
8000,1.0904,1.2052,1.6698,0.9949,0.3433,0.5458,5.2597
9000,1.0832,1.1955,1.6541,0.9955,0.3469,0.5468,5.0279
10000,1.0770,1.2045,1.6200,0.9959,0.3474,0.5488,4.7037
