TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,29.7500,147.6800,27.4560,147.6930,80.7160,60.1340,34.5310
2000,31.8510,146.5060,29.0290,149.2530,84.7690,61.6690,22.2405
3000,30.5720,146.9027,28.6073,150.0487,85.0623,62.5967,17.8767
4000,31.2775,146.6865,27.2800,150.5828,84.9627,63.5675,16.4050
5000,31.9346,145.9900,25.3880,150.9188,87.2912,64.0440,15.9026
6000,32.5952,145.4997,24.4310,151.2865,87.1983,64.5450,16.4537
7000,33.2893,146.0237,23.4426,151.5166,87.2073,64.6051,17.1246
8000,33.1119,146.1937,23.8508,151.7256,88.8542,65.2365,16.7437
9000,33.4577,146.3847,23.7967,151.9092,88.6959,65.4504,17.4313
10000,33.7869,146.2014,24.5102,152.0648,88.9489,65.5958,18.4400
