TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,723.8630,143.3980,138.9280,662.0720,185.6330,187.0780,275.4060
2000,786.5320,140.5260,144.0000,746.6715,184.5765,186.0970,255.1920
3000,813.5423,141.7150,144.0000,794.2270,183.9950,185.4880,247.0527
4000,835.2485,141.5362,144.0000,828.2292,183.5743,185.0855,244.9510
5000,853.6162,139.9478,144.0000,856.7400,183.2656,184.7548,245.1776
6000,867.0085,138.6793,144.5040,879.6680,182.9997,184.4670,247.3492
7000,881.5816,140.7253,144.6971,898.1551,182.7844,184.2920,249.9009
8000,891.0545,140.4232,145.2720,914.5403,182.5857,184.0870,249.3553
9000,900.9483,140.9953,146.0036,928.7352,182.4182,183.9378,252.2177
10000,911.2641,140.6657,147.2992,940.0257,182.2599,183.7600,255.2754
