TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,3.0000,1.0000,3.0000,5.0000,10.0000,6.0000,1.0000
2000,3.0000,1.0000,4.0000,6.0000,10.0000,6.0000,2.0000
3000,3.0000,1.0000,4.0000,7.0000,11.0000,7.0000,2.0000
4000,3.0000,1.0000,4.0000,7.0000,11.0000,7.0000,2.0000
5000,3.0000,1.0000,4.0000,8.0000,12.0000,7.0000,2.0000
6000,4.0000,1.0000,4.0000,8.0000,11.0000,7.0000,2.0000
7000,4.0000,1.0000,4.0000,8.0000,12.0000,7.0000,2.0000
8000,4.0000,1.0000,4.0000,8.0000,12.0000,7.0000,2.0000
9000,4.0000,1.0000,4.0000,8.0000,12.0000,7.0000,2.0000
10000,4.0000,1.0000,4.0000,9.0000,13.0000,7.0000,2.0000
