TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,0.3351,0.5342,0.5688,0.4900,0.2576,0.3541,0.6711
2000,0.3224,0.5444,0.5814,0.4949,0.2528,0.3542,0.7767
3000,0.3389,0.5400,0.5394,0.4966,0.2567,0.3547,0.8217
4000,0.3444,0.5426,0.5247,0.4975,0.2604,0.3534,0.8393
5000,0.3434,0.5482,0.5194,0.4980,0.2553,0.3539,0.8465
6000,0.3386,0.5520,0.5109,0.4983,0.2577,0.3533,0.8420
7000,0.3359,0.5481,0.5115,0.4985,0.2592,0.3543,0.8359
8000,0.3384,0.5465,0.4898,0.4987,0.2555,0.3531,0.8402
9000,0.3321,0.5445,0.4865,0.4989,0.2576,0.3535,0.8341
10000,0.3298,0.5464,0.4923,0.4990,0.2579,0.3543,0.8247
