TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,620.1320,440.4651,755.3811,395.5976,564.6085,683.0263,599.5851
2000,605.7827,445.8148,738.9932,391.3586,550.0824,677.2590,786.6660
3000,629.7522,443.6872,704.3444,389.7039,550.8487,673.8439,890.6114
4000,627.0203,444.9699,704.1411,388.7530,552.7323,669.3138,936.6771
5000,623.4679,448.1027,721.1745,388.1701,543.6247,667.6610,954.5332
6000,618.1544,450.2440,730.9512,387.6474,544.9173,665.7092,947.3594
7000,612.6902,447.9689,738.1615,387.3055,545.5691,666.0613,934.3830
8000,616.0150,447.1637,721.4441,387.0152,539.2040,662.9234,946.2556
9000,612.5650,446.1350,722.2907,386.7702,540.4587,662.1946,929.4553
10000,610.2238,447.0978,719.2900,386.5662,539.8777,662.0187,908.0988
