TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,582.6875,594.0918,256.7595,879.2041,431.3624,360.2142,373.5470
2000,1244.0874,1175.1668,530.7545,1854.7238,887.2344,728.0810,598.3915
3000,1880.1234,1770.1405,813.5720,2861.4477,1330.9806,1099.0190,814.6862
4000,2558.6549,2355.5016,1074.3080,3890.0514,1770.5281,1476.3380,1048.1835
5000,3255.3524,2925.5851,1307.1935,4939.1332,2250.8283,1851.2100,1295.7863
6000,3962.7987,3494.6446,1547.5322,6002.2404,2696.4635,2229.2355,1572.8309
7000,4694.0879,4099.4789,1782.9380,7072.1340,3143.7114,2600.4482,1863.5545
8000,5392.6776,4689.8471,2071.5870,8152.8731,3635.6795,2986.9080,2110.7585
9000,6125.7373,5286.7296,2331.3917,9240.6379,4082.6600,3364.9450,2417.0526
10000,6870.8016,5864.0036,2616.9597,10328.3035,4542.5489,3741.2472,2746.3787
