TOTAL_TAGS,DQTA(k_max=3),EAQ_CBB,EMDT,LAPCT,NLHQT(n=1),NLHQT(n=2),PBGVCT
1000,1612.5600,2270.3275,1323.8350,2527.8212,1771.1388,1464.0725,1667.8200
2000,3301.5138,4486.1675,2706.3850,5110.4025,3635.8187,2953.0800,2542.3750
3000,4763.7788,6761.5200,4259.2800,7698.1525,5446.1412,4452.0700,3368.4725
4000,6379.3787,8989.3713,5680.6800,10289.3088,7236.7762,5976.2700,4270.4150
5000,8019.6587,11158.1562,6933.1350,12880.9525,9197.5225,7488.8300,5238.1625
6000,9706.3125,13326.1063,8208.4825,15477.9837,11010.8450,9012.9450,6333.3938
7000,11425.0238,15626.0837,9483.0200,18073.5900,12830.6388,10509.5425,7491.5750
8000,12986.6963,17890.5412,11088.8700,20671.0213,14836.6850,12067.7600,8454.3750
9000,14692.3175,20173.2663,12460.3575,23269.6338,16652.5200,13591.1700,9683.0912
10000,16387.4313,22366.4712,13902.5975,25868.7900,18522.7137,15105.3125,11012.0175
